subj	G	time	liking
S246	S/J	after	7
S247	S/J	before	7
S247	S/J	after	6
S248	S/J	before	5
S248	S/J	after	6
S249	S/J	before	3
S249	S/J	after	6
S250	S/J	before	5
S250	S/J	after	6
S251	S/J	before	5
S251	S/J	after	6
S252	S/J	before	5
S252	S/J	after	7
S254	S/J	before	4
S254	S/J	after	6
S255	S/J	before	2
S255	S/J	after	6
S256	S/J	before	3
S256	S/J	after	6
S49	Control	before	4
S49	Control	after	4
S50	Control	before	6
S50	Control	after	6
S51	Control	before	6
S51	Control	after	6
S52	Control	before	4
S52	Control	after	5
S53	Control	before	7
S53	Control	after	3
S54	Control	before	3
S54	Control	after	3
S55	Control	before	5
S55	Control	after	3
S56	Control	before	5
S56	Control	after	6
S57	Control	before	2
S57	Control	after	5
S58	Control	before	7
S58	Control	after	5
S59	Control	before	6
S59	Control	after	6
S60	Control	before	1
S60	Control	after	3
S61	Control	before	4
S61	Control	after	4
S62	Control	before	5
S62	Control	after	5
S65	Control	before	2
S65	Control	after	5
S66	Control	before	5
S66	Control	after	7
S67	Control	before	4
S67	Control	after	5
S68	Control	before	5
S68	Control	after	7
S69	Control	before	1
S69	Control	after	7
S70	Control	before	3
S70	Control	after	6
S71	Control	before	2
S71	Control	after	5
S72	Control	before	4
S72	Control	after	6
S73	Control	before	3
S73	Control	after	1
S74	Control	before	3
S74	Control	after	4
S75	Control	before	6
S75	Control	after	4
S76	Control	before	6
S76	Control	after	1
S77	Control	before	5
S77	Control	after	6
S79	Control	before	3
S79	Control	after	4
S80	Control	before	5
S80	Control	after	1
S81	Control	before	1
S81	Control	after	1
S82	Control	before	1
S82	Control	after	4
S83	Control	before	4
S83	Control	after	4
S84	Control	before	4
S84	Control	after	6
S85	Control	before	7
S85	Control	after	7
S86	Control	before	3
S86	Control	after	4
S87	Control	before	2
S87	Control	after	7
S89	N	before	7
S89	N	after	7
S90	N	before	3
S90	N	after	5
S91	N	before	1
S91	N	after	3
S92	N	before	3
S92	N	after	4
S94	N	before	1
S94	N	after	2
S95	N	before	4
S95	N	after	4
S96	N	before	1
S96	N	after	3
S97	N	before	1
S97	N	after	2
S98	N	before	1
S98	N	after	3
S99	N	before	2
S99	N	after	4
